France_Champagne-Ardenne	12732
France_Corsica	3136
France_Free County_North	6092
France_Free County_South	8064
France_French Guiana	2588
France_Ile-de-France_Essonne	808
France_Ile-de-France_Hauts-de-Seine	100
France_Ile-de-France_Paris	72
France_Ile-de-France_Seine-et-Marne	2092
France_Ile-de-France_Seine-Saint-Denis	108
France_Ile-de-France_Val-de-Marne	100
France_Ile-de-France_Val-dOise	564
France_Ile-de-France_Yvelines	1100
France_Languedoc-Roussillon_Aude	7412
France_Languedoc-Roussillon_Gard	6408
France_Languedoc-Roussillon_Herault	6624
France_Languedoc-Roussillon_Lozere	7288
France_Languedoc-Roussillon_Pyrenees-Orientales	7660
France_Limousin	14276
France_Lorraine_Meurthe-et-Moselle	3068
France_Lorraine_Meuse	3628
France_Lorraine_Moselle	4392
France_Lorraine_Vosges	5704
France_Lower Normandy_Calvados	2492
France_Lower Normandy_Manche	2536
France_Lower Normandy_Orne	2812
France_Midi-Pyrenees_Ariege	11204
France_Midi-Pyrenees_Aveyron	11432
France_Midi-Pyrenees_Gers	4192
France_Midi-Pyrenees_Haute-Garonne	6208
France_Midi-Pyrenees_Hautes-Pyrenees	10428
France_Midi-Pyrenees_Lot	5208
France_Midi-Pyrenees_Tarn	5888
France_Midi-Pyrenees_Tarn-et-Garonne	2408
France_New Caledonia	4812
France_Nord-Pas-de-Calais_Lille	880
France_Nord-Pas-de-Calais_Nord	1312
France_Nord-Pas-de-Calais_Pas-de-Calais	2796
France_Pays de la Loire_Loire-Atlantique_Nantes	924
France_Pays de la Loire_Loire-Atlantique_Saint-Nazaire	1180
France_Pays de la Loire_Maine-et-Loire	2532
France_Pays de la Loire_Mayenne	2048
France_Pays de la Loire_Sarthe	2596
France_Pays de la Loire_Vendee	2340
France_Picardy_Aisne	3344
France_Picardy_Oise	2532
France_Picardy_Somme	2200
France_Poitou-Charentes_Charente	2768
France_Poitou-Charentes_Charente-Maritime	1976
France_Poitou-Charentes_Deux-Sevres	1884
France_Poitou-Charentes_Vienne	2376
France_Provence-Alpes-Cote dAzur_Alpes-de-Haute-Provence	2440
France_Provence-Alpes-Cote dAzur_Bouches-du-Rhone	3984
France_Provence-Alpes-Cote dAzur_Hautes-Alpes	2568
France_Provence-Alpes-Cote dAzur_Maritime Alps	12756
France_Provence-Alpes-Cote dAzur_Var	7324
France_Provence-Alpes-Cote dAzur_Vaucluse	3272
France_Rhone-Alpes_Ain	5352
France_Rhone-Alpes_Ardeche	9616
France_Rhone-Alpes_Drome	10916
France_Rhone-Alpes_Haute-Savoie	11476
France_Rhone-Alpes_Isere	15872
France_Rhone-Alpes_Loire	4968
France_Rhone-Alpes_Rhone	3596
France_Rhone-Alpes_Savoie	11108
France_Southern Islands	1020
France_Upper Normandy	5524
French Polynesia	5664
Gabon	2020
Georgia	12388
Germany_Baden-Wurttemberg_Regierungsbezirk Freiburg	12484
Germany_Baden-Wurttemberg_Regierungsbezirk Karlsruhe	7096
Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Heilbronn	3276
Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Stuttgart	5724
Germany_Baden-Wurttemberg_Regierungsbezirk Tubingen	7356
Germany_Berlin	400
Germany_Brandenburg_North	5800
Germany_Brandenburg_South	5104
Germany_Free State of Bavaria_Lower Bavaria	8560
Germany_Free State of Bavaria_Lower Franconia	7336
Germany_Free State of Bavaria_Middle Franconia	4652
Germany_Free State of Bavaria_Swabia	9012
Germany_Free State of Bavaria_Upper Bavaria_East	9284
Germany_Free State of Bavaria_Upper Bavaria_Ingolstadt	2260
Germany_Free State of Bavaria_Upper Bavaria_Munchen	1276
Germany_Free State of Bavaria_Upper Bavaria_South	5928
Germany_Free State of Bavaria_Upper Franconia	6412
Germany_Free State of Bavaria_Upper Palatinate	7908
Germany_Hamburg_main	396
Germany_Hesse_Regierungsbezirk Darmstadt	6104
Germany_Hesse_Regierungsbezirk Giessen	4632
Germany_Hesse_Regierungsbezirk Kassel	8076
Germany_Lower Saxony_Braunschweig	4388
Germany_Lower Saxony_Bremen_Bremen	2580
Germany_Lower Saxony_Bremen_Munster	4576
Germany_Lower Saxony_Hannover	4012
Germany_Lower Saxony_Oldenburg	5904
Germany_Mecklenburg-Vorpommern	8312
Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Arnsberg	7116
Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Dortmund	1556
Germany_North Rhine-Westphalia_Regierungsbezirk Detmold	3768
Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Dusseldorf	1032
Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Mulheim	776
Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Wesel	580
Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Aachen	2492
Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Koln	2692
Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Munster	1392
Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Recklinghausen	1244
Germany_Rhineland-Palatinate_Koblenz	13448
Germany_Rhineland-Palatinate_South	7548
Germany_Saarland	2488
Germany_Saxony-Anhalt_Halle	3372
Germany_Saxony-Anhalt_Magdeburg	4324
Germany_Saxony_Dresden	3684
Germany_Saxony_Leipzig	6836
Germany_Schleswig-Holstein_Flensburg	3864
Germany_Schleswig-Holstein_Kiel	2480
Germany_Thuringia	13652
Ghana	11548
Gibraltar	20
Greece_Decentralized Administration of Aegean	2196
Greece_Decentralized Administration of Attica	5116
Greece_Decentralized Administration of Crete	2452
Greece_Decentralized Administration of Epirus - Western Macedonia	5824
Greece_Decentralized Administration of Macedonia and Thrace	7904
Greece_Decentralized Administration of Thessaly - Central Greece	8928
Greece_Decentralized Administration of West Greece	8300
Greenland	728
Grenada	520
Guadeloupe	1656
Guatemala	8328
Guernsey	56
Guinea	11240
Guinea-Bissau	9428
Guyana	2996
Haiti	6940
Honduras	8028
Hungary_Kozep-Magyarorszag	3276
Hungary_Northern Great Plain	11040
Hungary_Transdanubia	9888
Iceland	14368
India_Andaman and Nicobar Islands	3380
India_Andhra Pradesh	13472
India_Arunachal Pradesh	1108
India_Assam	8472
India_Bihar	10752
India_Chandigarh	56
India_Chhattisgarh	11292
India_Delhi	712
India_Goa	3320
India_Gujarat	14208
India_Haryana	4556
India_Himachal Pradesh	7128
India_Jammu and Kashmir	2016
India_Jharkhand	9516
India_Karnataka_North	11316
India_Karnataka_South	6872
India_Kerala	7832
India_Lakshadweep	4
India_Madhya Pradesh	2752
India_Maharashtra	13368
India_Manipur	6908
India_Meghalaya	5300
India_Mizoram	8056
India_Nagaland	6200
India_Odisha	6712
India_Punjab	6448
India_Rajasthan	992
India_Sikkim	3156
India_Tamil Nadu	15900
India_Telangana	12856
India_Tripura	8804
India_Uttar Pradesh	9904
India_Uttarakhand	6696
India_West Bengal	6016
Indonesia_Central	69732
Indonesia_East	2132
Indonesia_Jawa Barat	9560
Indonesia_Jawa Tengah	6144
Indonesia_Jawa Timur	8028
Indonesia_Nusa Tenggara	16632
Indonesia_West	46496
Iran_East	55580
Iran_North	4372
Iran_South	8084
Iraq_North	13512
Iraq_South	9584
Ireland_Connacht	8784
Ireland_Leinster	8472
Ireland_Munster	15392
Ireland_Northern Counties	5996
Isle of Man	528
Israel	16256
Italy_Abruzzo	3008
Italy_Aosta Valley	7476
Italy_Apulia	8876
Italy_Basilicata	8164
Italy_Calabria	4260
Italy_Campania	19128
Italy_Emilia-Romagna_Bologna	3984
Italy_Emilia-Romagna_Ferrara	884
Italy_Emilia-Romagna_Forli-Cesena	4184
Italy_Emilia-Romagna_Modena	2860
Italy_Emilia-Romagna_Parma	4576
